"","dim 1","dim 2","Likelihood","time","space","threshold","divisor","dim"
"1",329,208,-29.1406350476796,0.135297580560048,0.5,1.5,2,537
"2",329,832,-29.149982120143,0.259213129679362,0.5,1.5,4,1161
"3",329,1872,-29.152148823478,0.517200668652852,0.5,1.5,6,2201
"4",329,3328,-29.152916822514,0.885468300183614,0.5,1.5,8,3657
"5",298,332,-29.1223361050346,0.144614553451538,0.5,2,2,630
"6",298,1328,-29.1212185721614,0.366058464845022,0.5,2,4,1626
"7",298,2988,-29.1212214353022,0.74928734699885,0.5,2,6,3286
"8",298,5312,-29.121222538554,1.40457798242569,0.5,2,8,5610
"9",83,56,-28.8817887399575,0.0398266673088074,1,1.5,2,139
"10",83,224,-29.1644254019496,0.0847491860389709,1,1.5,4,307
"11",83,504,-29.1711494424572,0.205659115314484,1,1.5,6,587
"12",83,896,-29.1742141116786,0.281947998205821,1,1.5,8,979
"13",76,84,-28.8782104457744,0.0431675314903259,1,2,2,160
"14",76,336,-29.1436125496086,0.125047866503398,1,2,4,412
"15",76,756,-29.1439032017046,0.240561850865682,1,2,6,832
"16",76,1344,-29.1444978161117,0.43194884856542,1,2,8,1420
"17",19,16,-31.2473389103254,0.010932985941569,2,1.5,2,35
"18",19,64,-28.8288546957103,0.0244313995043437,2,1.5,4,83
"19",19,144,-29.1249331582609,0.0482547005017598,2,1.5,6,163
"20",19,256,-29.1108219205032,0.0803489168485006,2,1.5,8,275
"21",17,24,-31.2473339994485,0.0126484314600627,2,2,2,41
"22",17,96,-28.8288540793708,0.0398443857828776,2,2,4,113
"23",17,216,-29.1249326009198,0.0706007838249207,2,2,6,233
"24",17,384,-29.1108213864188,0.123198449611664,2,2,8,401
